Time;Application throughput downlink;Ping round trip time;RS SNR;RSRQ (detected) - 1;RSRQ (detected) - 2;RSRQ (detected) - 3;RSRQ (detected) - 4;RSRQ (detected) - 5;RSRQ (detected) - 6;RSRP (detected) - 1;RSRP (detected) - 2;RSRP (detected) - 3;RSRP (detected) - 4;RSRP (detected) - 5;RSRP (detected) - 6
14:08:52.730;6.3;;;;;;;;;;;;;;
14:08:53.270;;;26.5;;;;;;;;;;;;
14:08:53.749;6.6;;;;;;;;;;;;;;
14:08:53.950;;;24.9;;;;;;;;;;;;
14:08:54.668;;;25.9;;;;;;;;;;;;
14:08:54.770;6.6;;;;;;;;;;;;;;
14:08:55.343;;;28.1;;;;;;;;;;;;
14:08:55.775;6.9;;;;;;;;;;;;;;
14:08:56.067;;;25.4;;;;;;;;;;;;
14:08:56.782;6.7;;;;;;;;;;;;;;
14:08:56.783;;;28.5;;;;;;;;;;;;
14:08:57.463;;;27.1;;;;;;;;;;;;
14:08:57.790;6.7;;;;;;;;;;;;;;
14:08:58.185;;;26.5;;;;;;;;;;;;
14:08:58.818;6.6;;;;;;;;;;;;;;
14:08:58.868;;;27.1;;;;;;;;;;;;
14:08:59.543;;;26.9;;;;;;;;;;;;
14:08:59.848;6.5;;;;;;;;;;;;;;
14:09:00.224;;;24.6;;;;;;;;;;;;
14:09:00.849;6.5;;;;;;;;;;;;;;
14:09:00.949;;;26.1;;;;;;;;;;;;
14:09:01.623;;;27.1;;;;;;;;;;;;
14:09:01.864;6.5;;;;;;;;;;;;;;
14:09:02.309;;;27.2;;;;;;;;;;;;
14:09:02.881;6.4;;;;;;;;;;;;;;
14:09:02.989;;;24.7;;;;;;;;;;;;
14:09:03.663;;;24.3;;;;;;;;;;;;
14:09:03.897;5.9;;;;;;;;;;;;;;
14:09:04.343;;;22.9;;;;;;;;;;;;
14:09:04.913;6.4;;;;;;;;;;;;;;
14:09:05.024;;;21.6;;;;;;;;;;;;
14:09:05.747;;;24.5;;;;;;;;;;;;
14:09:05.930;6.5;;;;;;;;;;;;;;
14:09:06.426;;;27.4;;;;;;;;;;;;
14:09:06.935;6.8;;;;;;;;;;;;;;
14:09:07.146;;;24.0;;;;;;;;;;;;
14:09:07.823;;;23.8;;;;;;;;;;;;
14:09:08.503;;;24.9;;;;;;;;;;;;
14:09:09.299;;;23.9;;;;;;;;;;;;
14:09:10.258;;;26.8;;;;;;;;;;;;
14:09:11.223;;;23.8;;;;;;;;;;;;
14:09:12.185;;;28.3;;;;;;;;;;;;
14:09:13.192;;;24.2;;;;;;;;;;;;
14:09:14.127;;;23.6;;;;;;;;;;;;
14:09:15.063;;;23.6;;;;;;;;;;;;
14:09:16.023;;;26.1;;;;;;;;;;;;
14:09:16.979;;;;-19.5;;;;;;-83.0;;;;;
14:09:16.979;;;25.6;;;;;;;;;;;;
14:09:17.939;;;;-20.0;;;;;;-85.0;;;;;
14:09:17.939;;;26.1;;;;;;;;;;;;
14:09:19.223;;;;-19.0;;;;;;-85.0;;;;;
14:09:19.223;;;24.6;;;;;;;;;;;;
14:09:20.184;;;;-19.0;;;;;;-85.0;;;;;
14:09:20.184;;;24.9;;;;;;;;;;;;
14:09:21.149;;;;-20.0;;;;;;-83.0;;;;;
14:09:21.149;;;23.7;;;;;;;;;;;;
14:09:22.127;;;;-20.0;;;;;;-87.0;;;;;
14:09:22.127;;;23.1;;;;;;;;;;;;
14:09:23.063;;;;-20.0;;;;;;-87.0;;;;;
14:09:23.063;;;22.2;;;;;;;;;;;;
14:09:23.678;;39;;;;;;;;;;;;;
14:09:24.340;;;;-20.0; -20.0;;;;;-85.0; -87.0;;;;
14:09:24.340;;;24.0;;;;;;;;;;;;
14:09:24.378;;46;;;;;;;;;;;;;
14:09:25.300;;;;-20.0; -19.0;;;;;-86.0; -87.0;;;;
14:09:25.300;;;25.4;;;;;;;;;;;;
14:09:25.409;;38;;;;;;;;;;;;;
14:09:26.260;;;;-17.0; -20.0;;;;;-87.0; -87.0;;;;
14:09:26.260;;;22.8;;;;;;;;;;;;
14:09:26.411;;36;;;;;;;;;;;;;
14:09:27.220;;;;-18.0; -20.0; -20.0;;;;-85.0; -89.0; -91.0;;;
14:09:27.220;;;25.6;;;;;;;;;;;;
14:09:27.411;;35;;;;;;;;;;;;;
14:09:28.180;;;;-17.0; -20.0; -20.0;;;;-85.0; -90.0; -91.0;;;
14:09:28.180;;;21.8;;;;;;;;;;;;
14:09:28.413;;33;;;;;;;;;;;;;
14:09:29.147;;;;-19.0; -20.0; -20.0;;;;-86.0; -87.0; -89.0;;;
14:09:29.147;;;25.0;;;;;;;;;;;;
14:09:29.417;;41;;;;;;;;;;;;;
14:09:30.127;;;;-13.5; -12.5; -20.0; -20.0;;;-76.0; -79.0; -85.0; -87.0;;
14:09:30.127;;;15.8;;;;;;;;;;;;
14:09:30.424;;55;;;;;;;;;;;;;
14:09:31.061;;;;-13.0; -16.0; -20.0; -20.0;;;-80.0; -82.0; -90.0; -90.0;;
14:09:31.061;;;16.1;;;;;;;;;;;;
14:09:31.422;;37;;;;;;;;;;;;;
14:09:32.047;;;;-14.0; -18.0; -20.0;;;;-84.0; -87.0; -93.0;;;
14:09:32.047;;;15.1;;;;;;;;;;;;
14:09:32.443;;35;;;;;;;;;;;;;
14:09:32.727;;;;-11.5; -14.0; -20.0;;;;-80.0; -82.0; -91.0;;;
14:09:32.727;;;16.0;;;;;;;;;;;;
14:09:33.620;;;;-13.0; -13.0; -20.0;;;;-81.0; -81.0; -91.0;;;
14:09:33.620;;;15.3;;;;;;;;;;;;
14:09:34.580;;;;-14.0; -12.5; -20.0;;;;-82.0; -83.0; -91.0;;;
14:09:34.580;;;17.8;;;;;;;;;;;;
14:09:35.543;;;;-14.0; -13.5;;;;;-77.0; -82.0;;;;
14:09:35.543;;;14.8;;;;;;;;;;;;
14:09:36.503;;;;-13.5; -20.0;;;;;-76.0; -82.0;;;;
14:09:36.503;;;14.8;;;;;;;;;;;;
14:09:37.463;;;;-18.0; -20.0;;;;;-82.0; -85.0;;;;
14:09:37.463;;;20.5;;;;;;;;;;;;
14:09:38.422;;;;-19.0; -20.0;;;;;-82.0; -86.0;;;;
14:09:38.422;;;24.0;;;;;;;;;;;;
